feature,2018/4/20,y2038: ipc: Use __kernel_timespec,-6,6,,message queue semaphore other,v4.x
reliability debug,2018/4/20,y2038: ipc: Report long times to user space,-9,33,,message semaphore shared memory,v4.x
reliability corruption defense,2018/4/20,y2038: ipc: Use ktime_get_real_seconds consistently,-6,6,,message semaphore,v4.x
bug memory nullPointer,2018/4/13,pc/shm: fix use-after-free of shm file via remap_file_pages(),-3,20,crash,shared memory,v4.x
reliability corruption defense,2018/4/11,pc/shm.c: shm_split(): remove unneeded test for NULL shm_file_data.vm_ops,-1,1,,shared memory,v4.x
performance store optimization,2018/4/11,pc/msg: introduce msgctl(MSG_STAT_ANY),-5,12,,message,v4.x
performance store optimization,2018/4/11,pc/sem: introduce semctl(SEM_STAT_ANY),-5,12,,semaphore,v4.x
performance access optimization,2018/4/11,pc/shm: introduce shmctl(SHM_STAT_ANY),-5,18,,shared memory,v4.x
feature,2018/4/11,proc: move /proc/sysvipc creation to where it belongs,0,1,,other,v4.x
feature,2018/4/3,Merge branch 'userns-linus' of ?,-80,152,,message semaphore shared memory other,v4.x
feature,2018/4/2,Merge branch 'syscalls-next' of ?,-49,172,,message semaphore shared memory other,v4.x
feature,2018/4/2,pc: add msgsnd syscall/compat_syscall wrappers,-6,22,,message other,v4.x
feature,2018/4/2,pc: add msgrcv syscall/compat_syscall wrappers,-7,24,,message other,v4.x
feature,2018/4/2,pc: add msgctl syscall/compat_syscall wrappers,-4,17,,message other,v4.x
feature,2018/4/2,pc: add shmctl syscall/compat_syscall wrappers,-4,16,,shared memory other,v4.x
feature,2018/4/2,pc: add shmdt syscall wrapper,-3,9,,shared memory other,v4.x
feature,2018/4/2,pc: add shmget syscall wrapper,-3,9,,shared memory other,v4.x
feature,2018/4/2,pc: add msgget syscall wrapper,-3,9,,message other,v4.x
feature,2018/4/2,pc: add semctl syscall/compat_syscall wrappers,-4,16,,semaphore other,v4.x
feature,2018/4/2,pc: add semget syscall wrapper,-3,9,,semaphore other,v4.x
feature,2018/4/2,pc: add semtimedop syscall/compat_syscall wrappers,-12,41,,semaphore other,v4.x
maintenance,2018/3/28,pc/shm.c: add split function to shm_vm_ops,0,12,,shared memory,v4.x
reliability corruption defense,2018/3/28,pc/shm: Fix pid freeing.,-2,2,,shared memory,v4.x
feature,2018/3/27,pc: Directly call the security hook in ipc_ops.associate,-27,3,,message semaphore shared memory,v4.x
performance access optimization,2018/3/27,"pc/sem: Fix semctl(..., GETPID, ...) between pid namespaces",-10,12,,semaphore,v4.x
performance synchronization,2018/3/27,"pc/msg: Fix msgctl(..., IPC_STAT, ...) between pid namespaces",-10,13,,message,v4.x
performance synchronization,2018/3/27,"pc/shm: Fix shmctl(..., IPC_STAT, ...) between pid namespaces.",-10,15,,shared memory,v4.x
performance other,2018/3/24,Revert "mqueue: switch to on-demand creation of internal mount",-55,19,,message queue,v4.x
performance synchronization,2018/3/24,pc/util: Helpers for making the sysvipc operations pid namespace aware,0,20,,other,v4.x
feature,2018/3/24,pc: Move IPCMNI from include/ipc.h into ipc/util.h,0,1,,other,v4.x
feature,2018/3/24,msg: Move struct msg_queue into ipc/msg.c,0,17,,message,v4.x
feature,2018/3/24,shm: Move struct shmid_kernel into ipc/shm.c,0,22,,shared memory,v4.x
feature,2018/3/22,sem: Move struct sem and struct sem_array into ipc/sem.c,0,34,,semaphore,v4.x
feature,2018/3/22,msg/security: Pass kern_ipc_perm not msg_queue into the msg_queue security hooks,-10,8,,message,v4.x
feature,2018/3/22,shm/security: Pass kern_ipc_perm not shmid_kernel into the shm security hooks,-10,7,,shared memory,v4.x
feature,2018/3/22,sem/security: Pass kern_ipc_perm not sem_array into the sem security hooks,-11,8,,semaphore,v4.x
performance other,2018/2/11,vfs: do bulk POLL* -> EPOLL* replacement,-2,2,,message queue,v4.x
reliability corruption defense,2018/2/6,pc/mqueue.c: have RT tasks queue in by priority in wq_add(),-1,1,,message queue,v4.x
performance speed optimization,2018/2/6,pc: fix ipc data structures inconsistency,-12,43,,message semaphore shared memory other,v4.x
feature,2018/1/30,Merge branch 'work.mqueue' of ?,-130,111,,message queue,v4.x
reliability robust,2018/1/30,Merge branch 'misc.poll' of ?,-2,2,,message queue,v4.x
performance other,2018/1/12,signal: Ensure generic siginfos the kernel sends have all bits initialized,0,1,,message queue,v4.x
feature,2018/1/5,mqueue: switch to on-demand creation of internal mount,-19,55,,message queue,v4.x
performance access optimization,2018/1/5,dy do_mq_open() up a bit,-6,3,,message queue,v4.x
performance access optimization,2018/1/5,mqueue: clean prepare_open() up,-18,11,,message queue,v4.x
performance access optimization,2018/1/5,do_mq_open(): move all work prior to dentry_open() into a helper,-46,31,,message queue,v4.x
performance access optimization,2018/1/5,mqueue: fold mq_attr_ok() into mqueue_get_inode(),-50,21,,message queue,v4.x
performance access optimization,2018/1/5,move dentry_open() calls up into do_mq_open(),-24,20,,message queue,v4.x
performance access optimization,2018/1/5,"mqueue: switch to vfs_mkobj(), quit abusing ->d_fsdata",-8,11,,message queue,v4.x
performance access optimization,2017/11/27,"pc, kernel, mm: annotate ->poll() instances",-2,2,,message queue,v4.x
bug semantic generic,2017/11/27,Rename superblock flags (MS_xyz -> SB_xyz),-1,1,wrong,message queue,v4.x
maintenance,2017/11/17,Merge branch 'akpm' (patches from Andrew),-50,75,,semaphore shared memory other,v4.x
feature,2017/11/17,sysvipc: make get_maxid O(1) again,-33,31,,other,v4.x
feature,2017/11/17,sysvipc: properly name ipc_addid() limit parameter,-5,5,,other,v4.x
reliability debug,2017/11/17,sysvipc: duplicate lock comments wrt ipc_addid(),0,2,,semaphore shared memory,v4.x
feature,2017/11/17,sysvipc: unteach ids->next_id for !CHECKPOINT_RESTORE,-20,45,,other,v4.x
feature,2017/11/17,Merge branch 'work.misc' of ?,-7,7,,message semaphore shared memory other,v4.x
performance access optimization,2017/11/2,License cleanup: add SPDX GPL-2.0 license identifier to files with no license,0,9,,other compatibility message semaphore shared memory,v4.x
performance access optimization,2017/10/11,fix address space warnings in ipc/,-7,7,,message semaphore shared memory other,v4.x
feature,2017/9/25,fix a typo in put_compat_shm_info(),-1,1,,shared memory,v4.x
reliability annotation,2017/9/20,pc/shm: Fix order of parameters when calling copy_compat_shmid_to_user,-1,1,,shared memory,v4.x
feature,2017/9/14,Merge branch 'work.ipc' of ?,-1120,1011,,compatibility message queue message semaphore shared memory other,v4.x
bug concurrency order,2017/9/8,pc: optimize semget/shmget/msgget for lots of keys,-50,124,deadlock,message other semaphore shared memory,v4.x
reliability annotation,2017/9/8,pc/sem: play nicer with large nsops allocations,-2,2,,semaphore,v4.x
feature,2017/9/8,pc/sem: drop sem_checkid helper,-2,0,,semaphore,v4.x
feature,2017/9/8,pc: convert kern_ipc_perm.refcount from atomic_t to refcount_t,-3,3,,other,v4.x
feature,2017/9/8,pc: convert sem_undo_list.refcnt from atomic_t to refcount_t,-4,4,,semaphore,v4.x
feature,2017/9/8,pc: convert ipc_namespace.count from atomic_t to refcount_t,-3,3,,other,v4.x
performance speed optimization,2017/9/3,pc: shm: Make shmid_kernel timestamps y2038 safe,-5,5,,shared memory,v4.x
performance speed optimization,2017/9/3,pc: sem: Make sem_array timestamps y2038 safe,-9,9,,semaphore,v4.x
performance speed optimization,2017/9/3,pc: msg: Make msg_queue timestamps y2038 safe,-3,3,,message,v4.x
reliability error enhancement,2017/9/3,pc: mqueue: Replace timespec with timespec64,-14,14,,message queue,v4.x
reliability error enhancement,2017/9/3,pc: Make sys_semtimedop() y2038 safe,-6,6,,semaphore,v4.x
performance synchronization,2017/8/21,Merge branch 'for-mingo' of ?,-1,2,,semaphore,v4.x
performance synchronization,2017/8/17,pc: Replace spin_unlock_wait() with lock/unlock pair,-1,2,,semaphore,v4.x
reliability annotation,2017/8/2,pc: add missing container_of()s for randstruct,-3,7,,message semaphore shared memory,v4.x
maintenance,2017/7/15,semtimedop(): move compat to native,-21,33,,compatibility semaphore,v4.x
performance access optimization,2017/7/15,shmat(2): move compat to native,-16,19,,compatibility shared memory,v4.x
performance access optimization,2017/7/15,"msgrcv(2), msgsnd(2): move compat to native",-39,43,,compatibility message,v4.x
performance access optimization,2017/7/15,pc(2): move compat to native,-95,93,,compatibility other,v4.x
performance access optimization,2017/7/15,pc: make use of compat ipc_perm helpers,-50,8,,message shared memory,v4.x
performance access optimization,2017/7/15,semctl(): move compat to native,-197,133,,compatibility semaphore other,v4.x
performance access optimization,2017/7/15,semctl(): separate all layout-dependent copyin/copyout,-98,94,,semaphore,v4.x
performance access optimization,2017/7/15,msgctl(): move compat to native,-132,133,,compatibility message,v4.x
performance access optimization,2017/7/15,msgctl(): split the actual work from copyin/copyout,-106,96,,message,v4.x
performance access optimization,2017/7/15,pc: move compat shmctl to native,-235,231,,compatibility shared memory other,v4.x
performance access optimization,2017/7/15,shmctl: split the work from copyin/copyout,-175,172,,shared memory,v4.x
feature,2017/7/12,pc/util.h: update documentation for ipc_getref() and ipc_putref(),0,3,,other,v4.x
feature,2017/7/12,pc/sem: drop __sem_free(),-7,2,,semaphore,v4.x
feature,2017/7/12,pc/msg: remove special msg_alloc/free,-20,4,,message,v4.x
feature,2017/7/12,pc/shm: remove special shm_alloc/free,-20,4,,shared memory,v4.x
feature,2017/7/12,pc: move atomic_set() to where it is needed,-5,1,,message semaphore shared memory other,v4.x
feature,2017/7/12,pc/msg.c: avoid ipc_rcu_putref for failed ipc_addid(),-5,5,,message,v4.x
feature,2017/7/12,pc/shm.c: avoid ipc_rcu_putref for failed ipc_addid(),-6,3,,shared memory,v4.x
feature,2017/7/12,pc/sem.c: avoid ipc_rcu_putref for failed ipc_addid(),-5,4,,semaphore,v4.x
performance synchronization,2017/7/12,pc/util: drop ipc_rcu_alloc(),-24,0,,other,v4.x
feature,2017/7/12,pc/msg: avoid ipc_rcu_alloc(),-4,14,,message,v4.x
feature,2017/7/12,pc/shm: avoid ipc_rcu_alloc(),-4,14,,shared memory,v4.x
feature,2017/7/12,pc/sem: avoid ipc_rcu_alloc(),-5,20,,semaphore,v4.x
performance store optimization,2017/7/12,pc/util: drop ipc_rcu_free(),-8,0,,other,v4.x
reliability error enhancement,2017/7/12,pc/msg: do not use ipc_rcu_free(),-2,7,,message,v4.x
reliability error enhancement,2017/7/12,pc/shm: do not use ipc_rcu_free(),-2,7,,shared memory,v4.x
reliability error enhancement,2017/7/12,pc/sem: do not use ipc_rcu_free(),-2,7,,semaphore,v4.x
feature,2017/7/12,pc: drop non-RCU allocation,-33,6,,semaphore other,v4.x
feature,2017/7/12,pc: merge ipc_rcu and kern_ipc_perm,-61,63,,message semaphore shared memory other,v4.x
feature,2017/7/12,"pc/sem.c: remove sem_base, embed struct sem",-54,34,,semaphore,v4.x
bug memory danglingPt,2017/7/9,mqueue: fix a use-after-free in sys_mq_notify(),-1,3,leak,message queue,v4.x
bug memory bufOverflow,2017/7/7,Merge tag 'for-linus-v4.13-1' of ?,-1,1,corruption,shared memory,v4.x
maintenance,2017/7/5,fs: remove call_fsync helper function,-1,1,,shared memory,v4.x
feature,2017/7/4,mqueue: move compat syscalls to native ones,-228,262,,other message queue,v4.x
performance store optimization,2017/5/8,mm: introduce kv[mz]alloc helpers,-6,1,,other,v4.x
bug semantic generic,2017/5/8,pc/shm: some shmat cleanups,-9,7,wrong,shared memory,v4.x
bug semantic I/OTiming,2017/5/5,Merge branch 'for-linus' of ?,-2,0,wrong,other,v4.x
performance speed optimization,2017/4/17,pc: Remove unused declaration of recompute_msgmni,-2,0,,other,v4.x
bug semantic generic,2017/4/2,kernel-api.rst: fix a series of errors when parsing C files,-5,7,error,other,v4.x
maintenance,2017/3/3,Merge branch 'WIP.sched-core-for-linus' of ?,-1,7,,message queue message other semaphore,v4.x
reliability corruption defense,2017/3/2,Merge branch 'for-linus' of ?,-2,2,,shared memory,v4.x
maintenance,2017/3/2,Merge remote-tracking branch 'ovl/for-viro' into for-linus,-2,2,,shared memory,v4.x
maintenance,2017/3/2,sched/headers: Move the wake-queue types and interfaces from sched.h into ?,-1,0,,message,v4.x
maintenance,2017/3/2,sched/headers: Prepare to move the task_lock()/unlock() APIs to ?,0,1,,other,v4.x
reliability annotation,2017/3/2,sched/headers: Prepare to remove <linux/cred.h> inclusion from <linux/sched.h>,0,1,,other,v4.x
maintenance,2017/3/2,sched/headers: Prepare for new header dependencies before moving code to ?,0,1,,message queue,v4.x
maintenance,2017/3/2,sched/headers: Prepare for new header dependencies before moving code to ?,0,1,,message queue,v4.x
maintenance,2017/3/2,sched/headers: Prepare for new header dependencies before moving code to ?,0,3,,message queue message semaphore,v4.x
reliability robust,2017/2/27,pc/shm: Fix shmat mmap nil-page protection,-4,9,,shared memory,v4.x
performance access optimization,2017/2/27,pc/mqueue: add missing sparse annotation,0,1,,message queue,v4.x
feature,2017/2/27,pc/sem: add hysteresis,-25,61,,semaphore,v4.x
feature,2017/2/27,pc/sem.c: avoid using spin_unlock_wait(),-22,3,,semaphore,v4.x
bug memory nullPointer,2017/2/24,userfaultfd: non-cooperative: add event for memory unmaps,-4,4,leak,shared memory,v4.x
reliability robust,2017/2/24,"mm, fs: reduce fault, page_mkwrite, and pfn_mkwrite to take only vmf",-3,3,,shared memory,v4.x
performance access optimization,2017/2/20,vfs: use helper for calling f_op->fsync(),-1,1,,shared memory,v4.x
performance access optimization,2017/2/20,mm: use helper for calling f_op->mmap(),-1,1,,shared memory,v4.x
feature,2017/1/10,pc/sem.c: fix incorrect sem_lock pairing,-1,1,,semaphore,v4.x
feature,2016/12/14,pc/sem: avoid idr tree lookup for interrupted semop,-32,5,,semaphore,v4.x
performance access optimization,2016/12/14,pc/sem: simplify wait-wake loop,-56,52,,semaphore,v4.x
feature,2016/12/14,pc/sem: use proper list api for pending_list wakeups,-25,13,,semaphore,v4.x
bug semantic state,2016/12/14,pc/sem: explicitly inline check_restart,-1,1,wrong,semaphore,v4.x
performance synchronization,2016/12/14,pc/sem: optimize perform_atomic_semop(),-10,102,,semaphore,v4.x
performance access optimization,2016/12/14,pc/sem: rework task wakeups,-180,86,,semaphore,v4.x
bug semantic logic,2016/12/14,pc/sem: do not call wake_sem_queue_do() prematurely ... as this call should ?,-7,12,wrong,semaphore,v4.x
bug memory danglingPt,2016/12/14,pc/shm.c: coding style fixes,-3,10,error,shared memory,v4.x
feature,2016/12/14,"pc: msg, make msgrcv work with LONG_MIN",-1,4,,message,v4.x
performance synchronization,2016/11/21,sched/wake_q: Rename WAKE_Q to DEFINE_WAKE_Q,-6,6,,message queue message,v4.x
maintenance,2016/10/27,pc: account for kmem usage on mqueue and msg,-2,2,,other,v4.x
reliability error enhancement,2016/10/11,pc/sem.c: add cond_resched in exit_sme,0,2,,semaphore,v4.x
feature,2016/10/11,pc/msg: avoid waking sender upon full queue,-10,43,,message,v4.x
reliability debug,2016/10/11,pc/msg: make ss_wakeup() kill arg boolean,-4,4,,message,v4.x
